模版主题,Template_ID,首批测试,中文名,Template_name,B 端上线时间,使用说明,封面(png/gif/mov),模版分类/Type,描述,duration,图片数量,360p参考耗时S,qualities,视频 URL,封面 URL,是否固定时长
小猫小猫哪里藏（不支持t2v）,354568167143040,1,,Kitten Hide and Seek,2025/8/21,"主体类型：不限
主体数量：1个最佳",,,上传物体翻开了很多猫咪,6,1,,360p|540p|720p|1080p,https://media.pixverse.ai/asset/template/web_250815_2.mp4,https://media.pixverse.ai/asset/template/web_250815_2.jpg,非固定
影分身（不支持t2v）,354371350649280,1,,Ninja Shadow Clone,2025/8/21,"主体类型：人物或动物
主体数量：1人最佳",,,复刻鸣人影分身术！,5,1,,360p|540p|720p|1080p,https://media.pixverse.ai/asset/template/web_clone_250814.mp4,https://media.pixverse.ai/asset/template/web_clone_250814.jpg,固定时长
大佛庇佑,354340119359936,1,,Buddha’s Blessing,2025/8/21,"主体类型：人物或动物
主体数量：1人最佳",,,佛主降临，虔诚朝拜,5,1,,"360p|540p|720p|1080p

",https://media.pixverse.ai/asset/template/web_buddha_250814.mp4,https://media.pixverse.ai/asset/template/web_buddha_250814.jpg,固定时长
花式退场,352956065691584,1,,Petals of Goodbye,2025/8/14,"主体类型：任意主体
主体数量：任意数量",petals.gif,创意时尚,主题变成花朵然后随风消散,5,1,,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_petal_250807.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_petal_250807.jpg,固定时长
万物皆可竖中指,353326100438592,1,,Middle Finger Up,2025/8/14,主体类型：人物或动物,middle.gif,裂变传播,镜头拉近主体树中指,5,1,,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_finger_250808.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_finger_250808.jpg,固定时长
霸道警官爱上我,353279785150016,1,,Officer Crush,2025/8/14,"主体类型：人物
主体数量：1人最佳",asset_template_web_officer_250808.gif,裂变传播,霸道警官爱上我,5,1,,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_officer_250808.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_officer_250808.jpg,非固定
生日贺卡,352981446212096,1,,Birthday Surprise,2025/8/14,"主体类型：人物或动物
主体数量：1人最佳",asset_template_web_birthday_250806.gif,节日营销,生日快乐,4,1,,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_birthday_250806.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_birthday_250806.jpg,固定时长
和emoji的自己同框,351907687030400,1,,Hi-Five Emoji Twin,2025/8/6,"主体类型：人物或动物
主体数量：1人最佳",,裂变传播,和emoji的自己同框,5,1,18,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_uandemoji_250803_2.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_uandemoji_250803_2.jpg,固定时长
肌肉加强版,350496364287680,1,,Muscle Max: Bodybuilder Champion,2025/7/30,"主体类型：人物
主体数量：1人最佳",,裂变传播,脱开上衣秀出人物肌肉,5,1,15,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_muscleplus_250723.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_muscleplus_250723.jpg,非固定
很多帅哥来亲我,349232463042176,1,,My Boyfriendsssss,2025/7/23,"主体类型：人物
主体数量：1人最佳","app_yourboys_250716.mp4,app_yourboys_250716.gif,app_yourboys_250716.png",裂变传播,很多帅哥来亲我,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_yourboys_250716.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_yourboys_250716.png,非固定
很多美女来亲我,349232644550272,1,,My Girlfriendssss,2025/7/23,"主体类型：人物
主体数量：1人最佳","app_girls_250716.mp4,app_girls_250716.gif",裂变传播,很多美女来亲我,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_yourgirls_250716.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_yourgirls_250716.png,非固定
earth zoom 运镜,349110259052160,1,,Earth Zoom Challenge,2025/7/23,"主体类型：人物
主体数量：1人最佳","app_earthzoom_250716.mp4,app_earthzoom_250716.gif,app_earthzoom_250716.png",裂变传播,镜头从地球外急速到照片主体,5,1,13,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_earthzoom_250716.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_earthzoom_250716.png,固定时长
登上豪华飞机,347847915659136,1,,Private Airplane,2025/7/15,"主体类型：人物
主体数量：1人最佳","app_jet_250708.mp4,app_jet_250708.gif,app_jet_250708.png",裂变传播,出现一架豪华飞机然后人物登机,5,1,15,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_jet_250708.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_jet_250708.png,固定时长
坐上豪车,347130807494528,1,,Ride My Porsche,2025/7/13,"主体类型：人物
主体数量：1人最佳","app_car_250706_2.mp4,app_car_250706_2.gif",裂变传播,一辆保时捷驶来，人物坐了上去,5,1,16,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_car_250706.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_car_250706.png,固定时长
李羲承进行曲 - 13秒,343058574996544,1,,Li Xi Cheng Merch    ,2025/7/3,"主体类型：人物
主体数量：1-3人最佳","app_lixicheng_250626.mov,app_lixicheng_250626.gif,app_lixicheng_250626.png",跳舞系列,跳舞,13,1,37,360p|540p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_lixicheng_250626.mov,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_lixicheng_250626.png,固定时长
粒子化泯灭,344080941597120,1,,Dust Me Away,2025/6/25,"主体类型：不限
主体数量：1个最佳","app_part_250618.mov,app_part_250618.gif,app_part_250618.png",裂变传播,主题粒子化并消散,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_part_250618.mov,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_part_250618.png,非固定
液态金属,342180291926592,1,,Liquid Metal,2025/6/13,"主体类型：人物
主体数量：1～2人最佳","web_metal_250606.mov,web_metal_250606.png,web_metal_250606.gif",创意时尚,人物脸上出现液态金属变装,5,1,21,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_metal_250606.mov,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_metal_250606.png,非固定
精灵翅膀,341983360051008,1,,Fairy Wings,2025/6/12,"主体类型：人物&动物
主体数量：1人最佳","web_sprite_250605.gif,web_sprite_250605.mov,web_sprite_250605.png",创意时尚,精灵羽翼展开在背后,5,1,11,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_sprite_250605.mov,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_sprite_250605.png,非固定
雷神电眼,340383170699072,1,,Thunder God,2025/6/3,"主体类型：人物&动物
主体数量：1~2人最佳",,创意时尚,雷神电眼,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_thunder_250527.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_thunder_250527.png,非固定
瞳孔无限放大 ,339848996187712,1,,Eye Zoom Challenge,2025/5/31,"主体类型：人物
主体数量：1人最佳",,裂变传播,瞳孔无限放大 ,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_eye_250524.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_eye_250524.png,固定时长
身后爆炸 BOOMDROP,339133943656192,1,,BOOM DROP,2025/5/27,"主体类型：人物&动物
主体数量：不限","web_explode_250520.mp4,web_explode_250520.gif,web_explode_250520.png",裂变传播,身后爆炸 BOOMDROP,5,1,13,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_explode_250520.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_explode_250520.png,非固定
"
Ghibli Magic",330688573362560,1,,Ghibli Magic,2025/4/9,"主体类型：人物&动物
主体数量：不限","web_ghibli_i2i_250402.mp4,web_ghibli_i2i_250402.gif,web_ghibli_i2i_250402.png",风格转绘,变为吉卜力风格,5,1,25,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_ghibli_i2i_250402.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_ghibli_i2i_250402.png,非固定
宠物公主裙,330448062595520,1,,Paw Princess,2025/4/8,"主体类型：人物&动物
主体数量：1人最佳","web_dresspet_250401.png,web_dresspet_250401.gif,web_dresspet_250401.mp4",家有萌宠,宠物穿上公主裙,5,1,11,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_dresspet_250401.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_dresspet_250401.png,非固定
下钞票雨&镜头环绕,327829606196096,1,,Money Tornado,2025/4/2,"主体类型：人物
主体数量：1人最佳","web_money360_250326.mp4,web_money360_250326.gif,web_money360_250326.png",裂变传播,很多钱在空中旋转飘舞,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_money360_250326.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_money360_250326.png,非固定
喷火咆哮,326607027713088,1,,Fire Roar,2025/3/19,"主体类型：人物&动物
主体数量：1人最佳","web_fire_250312.gif,web_fire_250312.mp4,web_fire_250312.png",裂变传播,喷火咆哮,5,1,11,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_fire_250312.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_fire_250312.png,非固定
360 旋转（微波炉）,324641385496960,1,,360° Microwave,2025/3/7,"主体类型：人物&动物
主体数量：1人最佳","web_360_250227.mp4,web_360_250227.gif,web_360_250227.png",裂变传播,物品或人物36度旋转,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_360_250227.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_360_250227.png,非固定
奥斯卡喜极而泣,321956810449792,1,,2025 Oscar Winner,2025/3/5,"主体类型：人物
主体数量：1人最佳","web_oscar_250226.gif,web_oscar_250226.mp4,web_oscar_250226.png",情感营销,获得了奥斯克小金人，喜极而泣,5,1,12,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_oscar_250226.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_oscar_250226.png,非固定
AI发对象,321958627120000,1,,"Kiss Me, AI!",2025/2/20,"主体类型：人物
主体数量：1人最佳","web_ailover_250212.gif,web_ailover_250212.mp4,web_ailover_250212.png",情感营销,人物被亲吻,5,1,16,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_ailover_250212.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_ailover_250212.png,非固定
捧脸亲吻,315446315336768,1,,Kiss Kiss,2025/1/15,"主体类型：人物
主体数量：2人","assettemplateeffect_sample_couple2.png,web_kiss_250113.mp4,web_kiss_250113.gif,web_kiss_250113.png","情感营销, 裂变传播",角色捧脸亲吻,5,1,16,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_kisskiss_0610.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_kisskiss_250610.png,非固定
肌肉猛男,308621408717184,1,,Muscle Surge,2024/12/5,"主体类型：人物
主体数量：1人最佳","web_musclesurge.gif,web_musclesurge.mp4,web_musclesurge_0115.png",裂变传播,人物变成有肌肉的体型,5,1,16,360p|540p|720p|1080p,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_muscle_0610.mp4,https://media.pixverse.ai/asset%2Ftemplate%2Fweb_muscle_0610.png,非固定
